family,kernel,size,threads,variant,median_runtime_sec,median_wall_time_sec,all_runtimes_sec,last_output
polybench_style,syrk,large,8,baseline,0.013202,0.0168459415435791,0.023081;0.013202;0.010065,"kernel=syrk,size=large,n=768,threads=8,runtime_sec=0.010065"
polybench_style,syrk,large,8,optimized,0.017015,0.019625425338745117,0.017015;0.016557;0.017193,"kernel=syrk,size=large,n=768,threads=8,runtime_sec=0.017193"
polybench_style,syrk,large,16,baseline,0.012899,0.01555633544921875,0.014463;0.008968;0.012899,"kernel=syrk,size=large,n=768,threads=16,runtime_sec=0.012899"
polybench_style,syrk,large,16,optimized,0.010519,0.01322793960571289,0.012037;0.006751;0.010519,"kernel=syrk,size=large,n=768,threads=16,runtime_sec=0.010519"
polybench_style,syr2k,small,1,baseline,0.002092,0.003557920455932617,0.001587;0.003459;0.002092,"kernel=syr2k,size=small,n=256,threads=1,runtime_sec=0.002092"
polybench_style,syr2k,small,1,optimized,0.002895,0.005125284194946289,0.002895;0.002448;0.003136,"kernel=syr2k,size=small,n=256,threads=1,runtime_sec=0.003136"
polybench_style,syr2k,small,2,baseline,0.00287,0.0054700374603271484,0.002872;0.002234;0.00287,"kernel=syr2k,size=small,n=256,threads=2,runtime_sec=0.002870"
polybench_style,syr2k,small,2,optimized,0.002432,0.00519251823425293,0.002447;0.002419;0.002432,"kernel=syr2k,size=small,n=256,threads=2,runtime_sec=0.002432"
polybench_style,syr2k,small,4,baseline,0.001733,0.004576444625854492,0.00175;0.001733;0.001732,"kernel=syr2k,size=small,n=256,threads=4,runtime_sec=0.001732"
polybench_style,syr2k,small,4,optimized,0.001494,0.004327535629272461,0.001502;0.001479;0.001494,"kernel=syr2k,size=small,n=256,threads=4,runtime_sec=0.001494"
polybench_style,syr2k,small,8,baseline,0.001092,0.00424957275390625,0.001074;0.001092;0.001096,"kernel=syr2k,size=small,n=256,threads=8,runtime_sec=0.001096"
polybench_style,syr2k,small,8,optimized,0.00092,0.004155158996582031,0.00092;0.000941;0.000917,"kernel=syr2k,size=small,n=256,threads=8,runtime_sec=0.000917"
polybench_style,syr2k,small,16,baseline,0.000807,0.0047261714935302734,0.000792;0.000807;0.000869,"kernel=syr2k,size=small,n=256,threads=16,runtime_sec=0.000869"
polybench_style,syr2k,small,16,optimized,0.00079,0.004693508148193359,0.000786;0.00079;0.000825,"kernel=syr2k,size=small,n=256,threads=16,runtime_sec=0.000825"
polybench_style,syr2k,standard,1,baseline,0.023969,0.027448415756225586,0.023969;0.024558;0.022495,"kernel=syr2k,size=standard,n=512,threads=1,runtime_sec=0.022495"
polybench_style,syr2k,standard,1,optimized,0.022802,0.025449752807617188,0.022802;0.021012;0.023117,"kernel=syr2k,size=standard,n=512,threads=1,runtime_sec=0.023117"
polybench_style,syr2k,standard,2,baseline,0.019691,0.022917509078979492,0.021732;0.019691;0.019294,"kernel=syr2k,size=standard,n=512,threads=2,runtime_sec=0.019294"
